"node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2019-12-06 20:12:38.195Z",1199676220, 864300000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-113, +4.2,"03000000-A1120000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:38.213Z",1199697028, 864500000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +4.2,"01000000-795A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:39.208Z",1200689740, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-99,+11.0,"05000000-845A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:39.496Z",1200979468, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-91,+11.5,"06000000-7B5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:40.011Z",1201488268, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105,+10.2,"02000000-7B5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:40.227Z",1201707716, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +5.8,"01000000-7A5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:41.220Z",1202700292, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-99,+10.2,"05000000-855A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:41.507Z",1202990044, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+11.5,"06000000-7C5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:42.015Z",1203498948, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105,+10.2,"02000000-7C5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:42.237Z",1203718396, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +4.2,"01000000-7B5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:43.227Z",1204710860, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-101,+11.8,"05000000-865A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:43.523Z",1205000604, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+11.8,"06000000-7D5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:44.028Z",1205509636, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-102, +8.0,"02000000-7D5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:44.248Z",1205729084, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +5.8,"01000000-7C5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:45.240Z",1206721420, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-103,+12.0,"05000000-875A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:45.527Z",1207011180, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+12.5,"06000000-7E5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:46.038Z",1207520324, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-103, +9.8,"02000000-7E5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:46.257Z",1207739764, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-113, +5.0,"01000000-7D5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:47.251Z",1208731980, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-101,+11.8,"05000000-885A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:47.538Z",1209021740, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-95,+13.0,"06000000-7F5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:47.752Z",1209236068, 868780000,1, 3, 32,"LORA",125000,"SF8"   ,"4/5",-105,+10.0,"04000000-A2120000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:47.960Z",1209441892, 864640000,0, 2, 32,"LORA",125000,"SF8"   ,"4/5",-108, +6.5,"03000000-A2120000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:48.047Z",1209530996, 864500000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-107,+10.0,"02000000-7F5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:48.269Z",1209750452, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +6.2,"01000000-7E5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:49.261Z",1210742540, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-99,+10.8,"05000000-895A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:49.551Z",1211032308, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+11.0,"06000000-805A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:50.059Z",1211541676, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-103, +9.2,"02000000-805A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:50.279Z",1211761140, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +6.2,"01000000-7F5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:51.271Z",1212753100, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-100,+10.8,"05000000-8A5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:51.561Z",1213042876, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-91,+11.5,"06000000-815A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:52.071Z",1213552364, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-103, +9.2,"02000000-815A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:52.291Z",1213771820, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +6.2,"01000000-805A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:53.283Z",1214763668, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-102,+12.0,"05000000-8B5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:53.573Z",1215053436, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-91,+11.2,"06000000-825A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:54.079Z",1215563052, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105, +9.8,"02000000-825A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:54.302Z",1215782508, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +5.8,"01000000-815A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:55.292Z",1216774228, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-100,+11.0,"05000000-8C5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:55.582Z",1217063996, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-90,+10.5,"06000000-835A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:56.091Z",1217573732, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105, +9.5,"02000000-835A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:56.312Z",1217793196, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +4.5,"01000000-825A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:57.304Z",1218784788, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-102,+11.5,"05000000-8D5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:57.522Z",1219001692, 864780000,0, 3, 32,"LORA",125000,"SF8"   ,"4/5",-103,+10.2,"04000000-A3120000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:57.592Z",1219074572, 864640000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+11.5,"06000000-845A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:57.726Z",1219207564, 868780000,1, 2, 32,"LORA",125000,"SF8"   ,"4/5",-108, +7.2,"03000000-A3120000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:58.103Z",1219584404, 864500000,0, 1, 32,"LORA",125000,"SF8"   ,"4/5",-102,+10.0,"02000000-845A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:58.321Z",1219803884, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-111, +6.2,"01000000-835A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:59.311Z",1220795348, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-99,+10.5,"05000000-8E5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:12:59.604Z",1221085132, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+12.2,"06000000-855A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:00.113Z",1221595092, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105,+10.2,"02000000-855A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:00.334Z",1221814556, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +6.0,"01000000-845A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:01.323Z",1222805908, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-102,+11.5,"05000000-8F5A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:01.612Z",1223095700, 864780000,0, 5, 32,"LORA",125000,"SF8"   ,"4/5",-93,+12.5,"06000000-865A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:02.122Z",1223605772, 868780000,1, 1, 32,"LORA",125000,"SF8"   ,"4/5",-105,+11.2,"02000000-865A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:02.343Z",1223825244, 864300000,0, 0, 32,"LORA",125000,"SF8"   ,"4/5",-114, +6.2,"01000000-855A0000-00000000-00000000-00000000-00000000-00000000-00000000"
"","2019-12-06 20:13:03.333Z",1224816468, 864100000,0, 4, 32,"LORA",125000,"SF8"   ,"4/5",-97,+10.5,"05000000-905A0000-00000000-00000000-00000000-00000000-00000000-00000000"
